participant_id,item_37,item_38,item_38_duplicate,item_39,item_40,item_41,item_42,item_43,item_44,item_45,item_45_duplicate,item_46,item_47,item_48,item_49,item_50,item_51,item_52,item_53,item_54,item_55,item_56,item_57,item_58,item_58_duplicate,item_59,item_60,item_60_duplicate,item_61,item_62,item_63,item_64,item_65,item_66,item_67,item_68,item_69,item_70,item_70_duplicate,item_71,item_72,item_73,item_74,item_75,item_75_duplicate,item_76,40_rating_vec
a1,4,5,4,5,4,2,4,5,5,5,5,4,2,5,3,5,2,3,4,4,4,2,4,1,1,4,1,1,4,4,2,5,4,4,1,2,5,5,4,5,5,4,2,2,2,4,"[4, 5, 4, 5, 4, 2, 4, 5, 5, 5, 5, 4, 2, 5, 3, 5, 2, 3, 4, 4, 4, 2, 4, 1, 1, 4, 1, 1, 4, 4, 2, 5, 4, 4, 1, 2, 5, 5, 4, 5, 5, 4, 2, 2, 2, 4]"
a2,3,4,3,3,4,3,3,3,4,4,4,3,3,4,2,4,2,3,2,4,1,2,3,3,3,2,1,1,3,3,3,1,1,2,1,1,3,2,2,1,4,2,1,1,1,2,"[3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 2, 4, 2, 3, 2, 4, 1, 2, 3, 3, 3, 2, 1, 1, 3, 3, 3, 1, 1, 2, 1, 1, 3, 2, 2, 1, 4, 2, 1, 1, 1, 2]"
a3,1,1,1,2,3,1,2,1,2,2,2,1,1,3,4,2,5,1,2,1,1,4,3,1,1,5,2,2,4,1,2,5,1,2,2,4,4,1,1,2,1,4,3,1,1,1,"[1, 1, 1, 2, 3, 1, 2, 1, 2, 2, 2, 1, 1, 3, 4, 2, 5, 1, 2, 1, 1, 4, 3, 1, 1, 5, 2, 2, 4, 1, 2, 5, 1, 2, 2, 4, 4, 1, 1, 2, 1, 4, 3, 1, 1, 1]"
a4,3,4,4,3,1,2,2,4,3,2,2,3,1,4,4,2,1,3,2,2,2,1,2,1,1,3,3,3,3,4,1,4,2,3,2,1,3,1,1,4,2,2,1,1,1,1,"[3, 4, 4, 3, 1, 2, 2, 4, 3, 2, 2, 3, 1, 4, 4, 2, 1, 3, 2, 2, 2, 1, 2, 1, 1, 3, 3, 3, 3, 4, 1, 4, 2, 3, 2, 1, 3, 1, 1, 4, 2, 2, 1, 1, 1, 1]"
a5,3,4,4,3,3,2,2,2,5,4,3,3,2,2,1,3,3,2,4,4,1,2,2,5,5,5,2,2,2,4,4,3,1,3,1,1,4,1,2,3,2,1,1,1,1,1,"[3, 4, 4, 3, 3, 2, 2, 2, 5, 4, 3, 3, 2, 2, 1, 3, 3, 2, 4, 4, 1, 2, 2, 5, 5, 5, 2, 2, 2, 4, 4, 3, 1, 3, 1, 1, 4, 1, 2, 3, 2, 1, 1, 1, 1, 1]"
a6,2,3,2,2,4,4,3,1,5,3,3,3,1,2,2,3,2,2,4,4,1,2,3,4,4,5,1,1,2,2,2,1,4,2,2,1,4,1,1,4,2,4,1,1,1,5,"[2, 3, 2, 2, 4, 4, 3, 1, 5, 3, 3, 3, 1, 2, 2, 3, 2, 2, 4, 4, 1, 2, 3, 4, 4, 5, 1, 1, 2, 2, 2, 1, 4, 2, 2, 1, 4, 1, 1, 4, 2, 4, 1, 1, 1, 5]"
a7,4,3,3,1,4,4,2,1,2,4,4,3,4,3,3,3,1,3,1,1,1,3,4,4,4,1,1,1,2,1,2,1,1,2,4,4,4,1,1,2,4,1,2,1,1,3,"[4, 3, 3, 1, 4, 4, 2, 1, 2, 4, 4, 3, 4, 3, 3, 3, 1, 3, 1, 1, 1, 3, 4, 4, 4, 1, 1, 1, 2, 1, 2, 1, 1, 2, 4, 4, 4, 1, 1, 2, 4, 1, 2, 1, 1, 3]"
a8,4,3,3,4,4,3,3,1,2,3,3,3,5,4,2,3,1,4,1,2,3,1,5,3,4,1,1,1,1,2,2,1,1,2,5,4,4,2,1,2,3,3,3,1,1,3,"[4, 3, 3, 4, 4, 3, 3, 1, 2, 3, 3, 3, 5, 4, 2, 3, 1, 4, 1, 2, 3, 1, 5, 3, 4, 1, 1, 1, 1, 2, 2, 1, 1, 2, 5, 4, 4, 2, 1, 2, 3, 3, 3, 1, 1, 3]"
a9,4,1,1,4,2,4,1,1,2,5,5,2,1,2,4,3,1,1,1,4,1,3,3,1,1,4,1,1,1,3,2,3,1,2,3,1,2,1,1,3,2,1,1,2,2,1,"[4, 1, 1, 4, 2, 4, 1, 1, 2, 5, 5, 2, 1, 2, 4, 3, 1, 1, 1, 4, 1, 3, 3, 1, 1, 4, 1, 1, 1, 3, 2, 3, 1, 2, 3, 1, 2, 1, 1, 3, 2, 1, 1, 2, 2, 1]"
a10,3,3,3,2,4,2,3,4,4,3,3,2,2,4,1,3,3,3,3,3,1,4,2,2,2,3,2,2,1,2,2,4,4,3,2,1,3,2,1,3,2,3,1,3,2,2,"[3, 3, 3, 2, 4, 2, 3, 4, 4, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 3, 1, 4, 2, 2, 2, 3, 2, 2, 1, 2, 2, 4, 4, 3, 2, 1, 3, 2, 1, 3, 2, 3, 1, 3, 2, 2]"
